# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
55062.3574	0.35407616	1.000184	0.000316	1.018584	0.000332	0.999963	0.000316
55062.35808	0.35409274	1.000429	0.000316	1.01884	0.000331	1.000208	0.000316
55062.35876	0.35410932	1.000781	0.000315	1.019207	0.000331	1.00056	0.000315
55062.35944	0.3541259	1.000363	0.000315	1.018773	0.000331	1.000142	0.000315
55062.36013	0.35414248	0.999939	0.000315	1.018334	0.000331	0.999718	0.000315
55062.36081	0.35415907	0.999976	0.000315	1.018373	0.000331	0.999755	0.000315
55062.36149	0.35417565	1.000004	0.000315	1.018403	0.000331	0.999783	0.000315
55062.36217	0.35419223	1.00015	0.000315	1.018556	0.000331	0.999929	0.000315
55062.36285	0.35420881	1.000311	0.000315	1.018725	0.00033	1.00009	0.000315
55062.36353	0.35422539	1.000069	0.000315	1.018474	0.00033	0.999848	0.000314
55062.36421	0.35424197	1.000476	0.000314	1.018899	0.00033	1.000255	0.000314
55062.36489	0.35425855	1.000608	0.000314	1.019037	0.00033	1.000387	0.000314
55062.36557	0.35427514	1.000103	0.000314	1.018513	0.00033	0.999882	0.000314
55062.36626	0.35429172	0.999903	0.000314	1.018306	0.00033	0.999682	0.000314
55062.36694	0.3543083	0.999991	0.000314	1.018398	0.00033	0.99977	0.000314
55062.36762	0.35432488	1.000415	0.000314	1.018839	0.000329	1.000195	0.000314
55062.3683	0.35434146	0.999953	0.000314	1.018361	0.000329	0.999733	0.000313
55062.36898	0.35435804	0.999784	0.000313	1.018186	0.000329	0.999564	0.000313
55062.36966	0.35437462	1.000334	0.000313	1.018758	0.000329	1.000114	0.000313
55062.37034	0.3543912	1.000493	0.000313	1.018924	0.000329	1.000273	0.000313
55062.37102	0.35440779	0.999821	0.000313	1.018227	0.000329	0.999601	0.000313
55062.37171	0.35442437	1.00032	0.000313	1.018745	0.000329	1.0001	0.000313
55062.37239	0.35444095	0.999905	0.000313	1.018315	0.000329	0.999685	0.000313
55062.37307	0.35445753	1.000553	0.000313	1.018988	0.000329	1.000333	0.000313
55062.37375	0.35447411	0.999517	0.000313	1.017912	0.000329	0.999297	0.000313
55062.37443	0.35449069	0.999902	0.000313	1.018313	0.000329	0.999682	0.000313
55062.37511	0.35450727	0.99949	0.000313	1.017885	0.000329	0.99927	0.000313
55062.37579	0.35452385	0.999696	0.000313	1.018098	0.000329	0.999476	0.000313
55062.37647	0.35454043	1.000372	0.000313	1.018801	0.000329	1.000152	0.000313
55062.37715	0.35455702	1.000249	0.000313	1.018672	0.000329	1.000029	0.000313
55062.37784	0.3545736	0.999629	0.000313	1.018029	0.000329	0.999409	0.000313
55062.37852	0.35459018	1.000777	0.000313	1.019221	0.000329	1.000557	0.000313
55062.3792	0.35460676	0.999931	0.000313	1.018342	0.000329	0.999711	0.000313
55062.37988	0.35462334	1.000269	0.000313	1.018693	0.000329	1.000049	0.000313
55062.38056	0.35463992	1.000641	0.000313	1.019079	0.000329	1.000421	0.000313
55062.38124	0.3546565	1.000427	0.000313	1.018856	0.000329	1.000207	0.000313
55062.38192	0.35467309	1.000141	0.000313	1.018559	0.000329	0.999921	0.000313
55062.3826	0.35468967	0.99974	0.000313	1.018141	0.000329	0.99952	0.000313
55062.38328	0.35470625	1.000674	0.000313	1.019111	0.000329	1.000454	0.000313
55062.38397	0.35472283	1.000287	0.000313	1.018708	0.000329	1.000067	0.000313
55062.38465	0.35473941	1.000288	0.000313	1.018709	0.000329	1.000068	0.000313
55062.38533	0.35475599	1.00052	0.000313	1.018949	0.000329	1.0003	0.000313
55062.38601	0.35477257	0.999578	0.000313	1.01797	0.000329	0.999359	0.000313
55062.38669	0.35478915	0.999936	0.000313	1.018341	0.000329	0.999716	0.000313
55062.38737	0.35480573	0.999468	0.000313	1.017855	0.000329	0.999249	0.000313
55062.38805	0.35482232	1.000939	0.000313	1.019382	0.000329	1.000719	0.000313
55062.38873	0.3548389	1.000938	0.000313	1.01938	0.000329	1.000718	0.000313
55062.38941	0.35485548	1.000147	0.000313	1.018557	0.000329	0.999928	0.000313
55062.3901	0.35487206	0.999198	0.000313	1.01757	0.000329	0.998979	0.000313
55062.39078	0.35488864	1.000127	0.000313	1.018534	0.000329	0.999908	0.000313
55062.39146	0.35490522	1.000427	0.000313	1.018845	0.000329	1.000208	0.000313
55062.39214	0.3549218	1.000558	0.000314	1.01898	0.000329	1.000339	0.000313
55062.39282	0.35493838	1.000572	0.000314	1.018994	0.000329	1.000353	0.000314
55062.3935	0.35495496	1.000367	0.000314	1.018779	0.00033	1.000148	0.000314
55062.39418	0.35497155	0.999987	0.000314	1.018384	0.00033	0.999768	0.000314
55062.39486	0.35498813	1.000392	0.000314	1.018803	0.00033	1.000173	0.000314
55062.39554	0.35500471	1.000063	0.000314	1.018461	0.00033	0.999844	0.000314
55062.39623	0.35502129	0.999719	0.000314	1.018102	0.00033	0.9995	0.000314
55062.39691	0.35503787	1.00054	0.000314	1.018953	0.00033	1.000321	0.000314
55062.39759	0.35505445	1.000211	0.000314	1.018611	0.00033	0.999992	0.000314
55062.39827	0.35507103	1.000228	0.000314	1.018628	0.00033	1.000009	0.000314
55062.39895	0.35508762	1.000574	0.000314	1.018987	0.00033	1.000355	0.000314
55062.39963	0.3551042	1.00061	0.000314	1.019023	0.00033	1.000391	0.000314
55062.40031	0.35512078	1.000096	0.000314	1.018489	0.00033	0.999877	0.000314
55062.40099	0.35513736	1.000158	0.000314	1.018552	0.00033	0.999939	0.000314
55062.40167	0.35515394	1.00036	0.000314	1.018761	0.00033	1.000141	0.000314
55062.40236	0.35517052	1.000871	0.000314	1.019291	0.00033	1.000652	0.000314
55062.40304	0.3551871	0.999874	0.000314	1.018256	0.00033	0.999656	0.000314
55062.40372	0.35520368	1.000265	0.000314	1.018661	0.00033	1.000046	0.000314
55062.4044	0.35522027	0.999891	0.000314	1.018273	0.00033	0.999672	0.000314
55062.40508	0.35523685	1.000185	0.000315	1.018579	0.00033	0.999966	0.000314
55062.40576	0.35525343	0.999984	0.000315	1.01837	0.00033	0.999765	0.000315
55062.40644	0.35527001	1.001057	0.000315	1.019485	0.000331	1.000838	0.000315
55062.40712	0.35528659	0.999854	0.000315	1.018235	0.000331	0.999635	0.000315
55062.4078	0.35530317	0.999503	0.000315	1.017871	0.000331	0.999284	0.000315
55062.40849	0.35531975	0.999606	0.000315	1.017979	0.000331	0.999387	0.000315
55062.40917	0.35533633	0.999886	0.000315	1.018271	0.000331	0.999667	0.000315
55062.40985	0.35535291	1.000389	0.000315	1.018795	0.000331	1.00017	0.000315
55062.41053	0.3553695	1.000397	0.000315	1.018804	0.000331	1.000178	0.000315
55062.41121	0.35538608	0.999978	0.000315	1.01837	0.000331	0.999759	0.000315
55062.41189	0.35540266	0.999756	0.000315	1.018141	0.000331	0.999538	0.000315
55062.41257	0.35541924	0.999971	0.000315	1.018366	0.000331	0.999752	0.000315
55062.41325	0.35543582	0.999378	0.000315	1.017752	0.000332	0.999159	0.000315
55062.41393	0.3554524	1.000438	0.000316	1.018855	0.000332	1.000219	0.000315
55062.41462	0.35546898	1.00029	0.000316	1.018704	0.000332	1.000072	0.000316
55062.4153	0.35548557	0.999881	0.000316	1.018281	0.000332	0.999663	0.000316
55062.41598	0.35550215	1.000299	0.000316	1.018717	0.000332	1.000081	0.000316
55062.41666	0.35551873	1.000229	0.000316	1.018647	0.000332	1.000011	0.000316
